,0,1,2,3,4,5,6,7,8,9
0,192.0,192.0,192.0,165.0,142.0,167.0,167.0,167.0,167.0,167.0
1,152.0,182.0,73.0,92.0,42.0,42.0,42.0,67.0,67.0,67.0
2,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
3,200.0,200.0,200.0,176.0,157.0,182.0,182.0,0.0,0.0,0.0
4,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
5,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
6,42.0,42.0,42.0,42.0,47.0,157.0,45.0,132.0,67.0,67.0
7,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
9,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
10,14.0,23.0,19.0,14.0,17.0,28.0,20.0,0.0,0.0,0.0
11,59.0,42.0,107.0,42.0,92.0,42.0,157.0,67.0,67.0,67.0
12,167.0,104.0,160.0,160.0,160.0,135.0,110.0,67.0,167.0,100.0
13,92.0,42.0,42.0,50.0,7.0,25.0,0.0,0.0,0.0,0.0
14,36.0,26.0,26.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0
15,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
16,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
17,17.0,26.0,23.0,26.0,27.0,18.0,15.0,5.0,0.0,0.0
18,157.0,92.0,42.0,107.0,42.0,42.0,42.0,67.0,67.0,132.0
19,42.0,157.0,42.0,107.0,42.0,42.0,42.0,67.0,67.0,67.0
20,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,42.0,42.0,42.0,42.0,42.0,42.0,92.0,135.0,167.0,36.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,9.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,23.0,20.0,15.0,20.0,16.0,24.0,17.0,0.0,0.0,0.0
25,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,92.0,75.0,190.0,72.0,25.0,25.0,0.0,0.0,0.0,0.0
27,172.0,194.0,200.0,160.0,135.0,182.0,182.0,147.0,182.0,182.0
28,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,11.0,81.0,16.0,25.0,0.0,25.0,21.0,0.0,0.0,0.0
31,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
32,167.0,167.0,192.0,198.0,200.0,161.0,130.0,31.0,177.0,157.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,67.0,182.0,13.0,132.0,182.0,13.0,132.0,182.0,13.0,182.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,200.0,38.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0
38,92.0,107.0,44.0,42.0,107.0,157.0,42.0,67.0,132.0,67.0
39,4.0,11.0,19.0,18.0,19.0,18.0,20.0,3.0,3.0,3.0
40,31.0,35.0,55.0,31.0,28.0,33.0,33.0,10.0,10.0,0.0
41,67.0,182.0,38.0,157.0,53.0,157.0,157.0,182.0,24.0,67.0
42,43.0,42.0,44.0,42.0,53.0,160.0,47.0,67.0,67.0,67.0
43,157.0,82.0,92.0,92.0,92.0,43.0,42.0,132.0,132.0,182.0
44,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
45,29.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,200.0,200.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
50,12.0,17.0,27.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0
51,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,20.0,17.0,12.0,17.0,17.0,17.0,18.0,0.0,0.0,0.0
54,157.0,42.0,42.0,4.0,0.0,25.0,0.0,0.0,0.0,0.0
55,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,200.0,200.0,200.0,176.0,157.0,182.0,182.0,182.0,182.0,182.0
57,36.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,36.0,26.0,19.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0
59,42.0,192.0,200.0,166.0,152.0,177.0,146.0,167.0,0.0,177.0
60,33.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,200.0,200.0,200.0,176.0,157.0,182.0,182.0,182.0,182.0,182.0
63,29.0,26.0,24.0,26.0,26.0,19.0,14.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,200.0,86.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0
66,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
69,18.0,25.0,20.0,22.0,19.0,22.0,15.0,0.0,0.0,0.0
70,9.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,200.0,200.0,200.0,159.0,152.0,177.0,146.0,177.0,157.0,177.0
72,37.0,37.0,35.0,36.0,35.0,33.0,28.0,12.0,11.0,10.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,15.0,15.0,3.0,0.0,3.0
75,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,200.0,200.0,200.0,176.0,157.0,182.0,182.0,182.0,182.0,182.0
77,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
78,8.0,15.0,20.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
79,33.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,110.0,42.0,49.0,42.0,110.0,42.0,92.0,67.0,67.0,135.0
81,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,26.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,35.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,200.0,200.0,200.0,176.0,157.0,182.0,182.0,182.0,182.0,182.0
85,67.0,33.0,87.0,0.0,21.0,25.0,25.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,18.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,200.0,200.0,200.0,176.0,157.0,182.0,182.0,182.0,182.0,182.0
89,25.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,4.0,11.0,19.0,18.0,19.0,18.0,20.0,3.0,3.0,3.0
91,12.0,24.0,29.0,34.0,30.0,49.0,200.0,135.0,4.0,0.0
92,25.0,71.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
93,157.0,177.0,182.0,190.0,200.0,171.0,152.0,177.0,177.0,136.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,25.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,61.0,111.0,79.0,55.0,37.0,42.0,6.0,0.0,0.0,0.0
98,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,168.0,34.0
99,92.0,42.0,193.0,193.0,185.0,166.0,143.0,177.0,21.0,168.0
100,9.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,42.0,42.0,42.0,42.0,42.0,42.0,92.0,67.0,67.0,67.0
102,92.0,92.0,42.0,42.0,157.0,42.0,0.0,0.0,0.0,0.0
103,92.0,92.0,42.0,107.0,42.0,42.0,42.0,67.0,182.0,142.0
104,92.0,58.0,157.0,185.0,182.0,152.0,152.0,146.0,177.0,177.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
