,0,1,2,3,4,5,6,7,8,9
0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,167.0,167.0,140.0,67.0,167.0,32.0,67.0,167.0,164.0,67.0
5,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,41.0,39.0,39.0,38.0,39.0,40.0,39.0,45.0,45.0,58.0
7,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
8,67.0,167.0,167.0,177.0,177.0,146.0,177.0,177.0,172.0,177.0
9,5.0,8.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
10,181.0,182.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,182.0,182.0,147.0,77.0,182.0,182.0,147.0,182.0,182.0,147.0
12,13.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
13,182.0,182.0,182.0,182.0,182.0,0.0,0.0,0.0,0.0,0.0
14,132.0,182.0,78.0,182.0,78.0,182.0,78.0,67.0,67.0,67.0
15,177.0,157.0,177.0,177.0,177.0,25.0,167.0,167.0,167.0,167.0
16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
19,24.0,20.0,8.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0
20,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,167.0,32.0
21,132.0,67.0,67.0,67.0,67.0,132.0,67.0,0.0,0.0,0.0
22,83.0,67.0,132.0,167.0,97.0,167.0,177.0,157.0,19.0,177.0
23,62.0,182.0,157.0,39.0,62.0,182.0,182.0,70.0,182.0,80.0
24,10.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
30,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
31,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
33,1.0,5.0,3.0,7.0,113.0,2.0,1.0,5.0,1.0,5.0
34,182.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,132.0,167.0,167.0,126.0,67.0,177.0,157.0,122.0,67.0,67.0
36,3.0,3.0,7.0,4.0,3.0,3.0,3.0,3.0,3.0,7.0
37,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
38,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,13.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,67.0,67.0,132.0,67.0,67.0,67.0,132.0,67.0,67.0,132.0
42,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,12.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,182.0,182.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,17.0,11.0,30.0,6.0,8.0,8.0,9.0,10.0,10.0,0.0
48,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
49,67.0,67.0,67.0,67.0,67.0,67.0,182.0,13.0,67.0,67.0
50,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,62.0,182.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,146.0,167.0,167.0,177.0,157.0,167.0,177.0,177.0,146.0,177.0
55,182.0,78.0,182.0,182.0,24.0,67.0,182.0,182.0,24.0,67.0
56,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
