,0,1,2,3,4,5,6,7,8,9
0,192.0,142.0,142.0,142.0,192.0,192.0,142.0,192.0,142.0,179.0
1,200.0,178.0,92.0,42.0,60.0,59.0,42.0,74.0,92.0,42.0
2,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
3,200.0,200.0,157.0,195.0,200.0,157.0,157.0,25.0,18.0,0.0
4,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
5,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
6,42.0,42.0,92.0,57.0,42.0,107.0,92.0,107.0,65.0,92.0
7,19.0,12.0,25.0,0.0,25.0,25.0,22.0,25.0,6.0,16.0
8,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
9,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
10,29.0,0.0,0.0,22.0,10.0,29.0,28.0,24.0,0.0,25.0
11,92.0,42.0,107.0,42.0,83.0,42.0,120.0,60.0,92.0,42.0
12,175.0,79.0,160.0,160.0,110.0,140.0,123.0,42.0,143.0,125.0
13,73.0,42.0,92.0,42.0,0.0,0.0,0.0,5.0,25.0,0.0
14,32.0,0.0,34.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0
15,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
16,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
17,4.0,24.0,30.0,30.0,30.0,0.0,35.0,0.0,2.0,25.0
18,157.0,42.0,92.0,157.0,42.0,92.0,92.0,82.0,48.0,107.0
19,92.0,112.0,42.0,157.0,92.0,52.0,92.0,92.0,51.0,42.0
20,200.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0
21,42.0,92.0,42.0,42.0,42.0,92.0,43.0,110.0,192.0,61.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,27.0,9.0,27.0,0.0,25.0,25.0,23.0,25.0,15.0,21.0
24,8.0,28.0,27.0,0.0,19.0,27.0,0.0,25.0,0.0,25.0
25,27.0,0.0,0.0,23.0,4.0,25.0,25.0,23.0,0.0,25.0
26,42.0,92.0,192.0,122.0,25.0,0.0,0.0,25.0,0.0,0.0
27,172.0,161.0,157.0,172.0,157.0,176.0,158.0,144.0,157.0,157.0
28,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,46.0,131.0,0.0,25.0,25.0,20.0,25.0,25.0,0.0,0.0
31,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
32,160.0,192.0,142.0,200.0,152.0,179.0,161.0,28.0,183.0,132.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,70.0,157.0,38.0,157.0,157.0,0.0,107.0,164.0,38.0,157.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,11.0,14.0,18.0,0.0,25.0,0.0,0.0,25.0,0.0,24.0
37,157.0,20.0,0.0,0.0,0.0,0.0,25.0,0.0,18.0,25.0
38,92.0,148.0,42.0,42.0,145.0,157.0,61.0,92.0,157.0,42.0
39,15.0,22.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0.0
40,1.0,16.0,55.0,21.0,0.0,22.0,33.0,0.0,30.0,25.0
41,42.0,157.0,38.0,200.0,103.0,107.0,200.0,191.0,49.0,42.0
42,82.0,46.0,92.0,90.0,56.0,110.0,92.0,92.0,42.0,43.0
43,127.0,59.0,92.0,42.0,77.0,92.0,92.0,107.0,107.0,157.0
44,92.0,42.0,92.0,92.0,42.0,92.0,92.0,86.0,42.0,52.0
45,14.0,26.0,28.0,27.0,25.0,0.0,0.0,25.0,0.0,25.0
