,0,1,2,3,4,5,6,7,8,9
0,142.0,155.0,142.0,192.0,192.0,192.0,192.0,146.0,142.0,180.0
1,200.0,200.0,73.0,58.0,42.0,92.0,74.0,42.0,92.0,68.0
2,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
3,157.0,200.0,157.0,200.0,200.0,157.0,200.0,0.0,0.0,0.0
4,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
5,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
6,50.0,71.0,54.0,49.0,42.0,115.0,57.0,108.0,44.0,92.0
7,0.0,17.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0
8,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
9,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
10,19.0,29.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
11,42.0,92.0,107.0,42.0,42.0,42.0,107.0,89.0,42.0,88.0
12,192.0,129.0,160.0,160.0,114.0,110.0,110.0,90.0,142.0,125.0
13,50.0,42.0,79.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0
15,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
16,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
17,0.0,30.0,30.0,0.0,30.0,0.0,0.0,0.0,25.0,21.0
18,157.0,42.0,92.0,131.0,47.0,42.0,42.0,42.0,80.0,107.0
19,42.0,147.0,42.0,157.0,42.0,48.0,42.0,44.0,92.0,92.0
20,157.0,200.0,4.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0
21,42.0,54.0,42.0,47.0,92.0,76.0,66.0,160.0,192.0,61.0
22,0.0,0.0,0.0,0.0,0.0,3.0,25.0,25.0,25.0,25.0
23,27.0,27.0,0.0,0.0,25.0,25.0,25.0,16.0,25.0,13.0
24,0.0,0.0,0.0,0.0,28.0,27.0,25.0,25.0,25.0,25.0
25,27.0,28.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,15.0
26,42.0,92.0,192.0,72.0,0.0,25.0,0.0,0.0,0.0,0.0
27,172.0,157.0,200.0,122.0,122.0,200.0,169.0,122.0,157.0,200.0
28,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
29,38.0,25.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,18.0
30,11.0,126.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0
31,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
32,142.0,148.0,192.0,200.0,200.0,200.0,111.0,47.0,180.0,173.0
33,0.0,0.0,0.0,0.0,0.0,3.0,25.0,25.0,25.0,25.0
34,92.0,163.0,4.0,157.0,200.0,0.0,157.0,200.0,0.0,200.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
36,0.0,17.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,21.0
37,200.0,10.0,25.0,13.0,25.0,19.0,25.0,4.0,0.0,0.0
38,42.0,107.0,42.0,50.0,107.0,107.0,42.0,42.0,135.0,72.0
39,0.0,28.0,0.0,0.0,28.0,0.0,28.0,28.0,28.0,28.0
40,0.0,35.0,55.0,0.0,33.0,33.0,33.0,10.0,35.0,25.0
41,52.0,157.0,4.0,157.0,66.0,157.0,200.0,197.0,49.0,73.0
42,92.0,42.0,42.0,92.0,92.0,110.0,92.0,92.0,42.0,48.0
43,157.0,92.0,92.0,89.0,92.0,92.0,74.0,147.0,157.0,200.0
44,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
45,11.0,19.0,0.0,0.0,15.0,25.0,25.0,25.0,25.0,25.0
46,157.0,200.0,52.0,25.0,0.0,0.0,0.0,0.0,0.0,20.0
47,0.0,10.0,0.0,0.0,0.0,0.0,25.0,28.0,25.0,23.0
48,0.0,24.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,23.0
49,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
50,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,25.0
51,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
53,0.0,0.0,0.0,0.0,27.0,28.0,27.0,25.0,25.0,25.0
54,157.0,92.0,42.0,2.0,11.0,12.0,17.0,8.0,0.0,0.0
55,0.0,17.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0
56,157.0,196.0,199.0,200.0,194.0,190.0,189.0,182.0,172.0,167.0
57,0.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0
58,36.0,26.0,0.0,0.0,28.0,28.0,25.0,0.0,25.0,1.0
59,92.0,153.0,200.0,182.0,200.0,200.0,121.0,173.0,0.0,152.0
60,1.0,200.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
62,157.0,196.0,199.0,200.0,194.0,190.0,189.0,182.0,172.0,167.0
63,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
65,200.0,92.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,17.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0
67,27.0,27.0,0.0,0.0,25.0,25.0,25.0,20.0,25.0,7.0
68,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
69,0.0,31.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,23.0
70,27.0,27.0,0.0,0.0,25.0,25.0,25.0,16.0,25.0,13.0
71,200.0,152.0,200.0,117.0,180.0,200.0,121.0,152.0,132.0,200.0
72,37.0,37.0,38.0,0.0,36.0,0.0,0.0,0.0,36.0,25.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
74,0.0,0.0,0.0,28.0,0.0,28.0,25.0,28.0,25.0,28.0
75,0.0,17.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0
76,157.0,196.0,199.0,200.0,194.0,190.0,189.0,182.0,172.0,167.0
77,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
78,27.0,27.0,0.0,0.0,25.0,25.0,25.0,17.0,25.0,21.0
79,1.0,200.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0
80,110.0,92.0,92.0,54.0,110.0,86.0,83.0,83.0,89.0,160.0
81,27.0,28.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,15.0
82,0.0,0.0,22.0,26.0,0.0,0.0,0.0,0.0,25.0,13.0
83,35.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,157.0,196.0,199.0,200.0,194.0,190.0,189.0,182.0,172.0,167.0
85,37.0,25.0,37.0,25.0,18.0,0.0,0.0,0.0,25.0,18.0
86,0.0,14.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,20.0
87,0.0,0.0,57.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0
88,157.0,196.0,199.0,200.0,194.0,190.0,189.0,182.0,172.0,167.0
89,6.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,28.0,0.0,0.0,28.0,0.0,28.0,28.0,28.0,28.0
91,30.0,29.0,0.0,0.0,0.0,53.0,200.0,110.0,29.0,19.0
92,0.0,65.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0
93,132.0,200.0,132.0,200.0,182.0,121.0,198.0,200.0,152.0,161.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
95,27.0,28.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,15.0
96,0.0,48.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
97,79.0,111.0,129.0,105.0,87.0,70.0,25.0,0.0,25.0,11.0
98,42.0,92.0,42.0,42.0,92.0,77.0,44.0,42.0,184.0,59.0
99,57.0,92.0,193.0,200.0,135.0,143.0,193.0,152.0,46.0,193.0
100,27.0,27.0,0.0,0.0,25.0,25.0,25.0,16.0,25.0,13.0
101,92.0,45.0,92.0,91.0,92.0,89.0,92.0,52.0,42.0,92.0
102,45.0,59.0,42.0,50.0,150.0,92.0,3.0,1.0,0.0,0.0
103,87.0,71.0,42.0,107.0,92.0,92.0,92.0,92.0,157.0,167.0
104,42.0,92.0,121.0,171.0,182.0,200.0,192.0,171.0,184.0,200.0
105,0.0,21.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
107,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,29.0,25.0
