,0,1
0,1,0
1,1,0
2,1,0
3,0,1
4,0,1
5,1,0
6,1,0
7,1,0
8,0,1
9,1,0
10,0,1
11,0,1
12,1,0
13,1,0
14,1,0
15,1,0
16,0,1
17,0,1
18,0,1
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,0,1
32,1,0
33,1,0
34,0,1
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,0,1
43,1,0
44,0,1
45,0,1
46,1,0
47,1,0
48,1,0
49,0,1
50,0,1
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,0,1
57,1,0
58,0,1
59,1,0
60,1,0
61,1,0
62,0,1
63,1,0
64,0,1
65,1,0
66,1,0
67,1,0
68,0,1
69,1,0
70,1,0
71,1,0
72,0,1
73,1,0
74,0,1
75,0,1
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,0,1
83,1,0
84,1,0
85,1,0
86,0,1
87,1,0
88,1,0
89,0,1
90,1,0
91,1,0
92,1,0
93,0,1
94,0,1
95,0,1
96,1,0
97,1,0
98,1,0
99,1,0
100,0,1
101,0,1
102,1,0
103,1,0
104,1,0
105,1,0
106,0,1
107,1,0
108,1,0
109,0,1
110,1,0
111,0,1
112,0,1
113,1,0
114,0,1
115,0,1
116,1,0
117,1,0
118,0,1
119,1,0
120,0,1
121,0,1
122,1,0
123,1,0
124,1,0
125,1,0
126,0,1
127,0,1
128,1,0
129,0,1
130,1,0
131,0,1
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,0,1
140,0,1
141,0,1
142,0,1
143,1,0
144,1,0
145,0,1
146,1,0
147,0,1
148,1,0
149,0,1
150,1,0
151,0,1
152,1,0
153,1,0
154,0,1
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,0,1
168,1,0
169,1,0
170,0,1
171,1,0
172,1,0
173,1,0
174,0,1
175,0,1
176,0,1
177,0,1
178,1,0
179,1,0
180,1,0
181,1,0
182,0,1
183,1,0
184,0,1
185,1,0
186,0,1
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,0,1
194,1,0
195,1,0
196,0,1
197,0,1
198,0,1
199,0,1
200,1,0
201,1,0
202,0,1
203,0,1
204,1,0
205,1,0
206,1,0
207,1,0
208,0,1
